BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
12.12.2025;00:00;CET;12.12.2025;01:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;69;69;69;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 4;Konventionell
12.12.2025;00:00;CET;12.12.2025;01:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;200;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;UW Büttel;Erneuerbar
12.12.2025;00:00;CET;12.12.2025;04:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;163;216;734;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;WALSUM_10;Konventionell
12.12.2025;00:00;CET;12.12.2025;05:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;194;205;968;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;HAMMUENTROP_10;Konventionell
12.12.2025;00:00;CET;12.12.2025;05:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;330;370;1650;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;Konventionell
12.12.2025;00:00;CET;12.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;220;240;1320;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NIEDERAUSSEM_K;Konventionell
12.12.2025;00:00;CET;12.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;260;510;1560;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;WEISWEILER_H;Konventionell
12.12.2025;00:00;CET;12.12.2025;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;57;80;114;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Grosskraftwerk Mannheim Block 9;Konventionell
12.12.2025;00:00;CET;13.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;117;120;234;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Schkopau;Konventionell
12.12.2025;00:45;CET;13.12.2025;00:00;CET;Strombedingter Countertrade DE-DK2;Wirkleistungseinspeisung erhöhen;21;45;144;50Hertz;50Hertz;Börse;Sonstiges
